Loading repository data...
Reading installed packages...

S  | Name                                       | Summary                                                                            | Type
i  | pam_pwquality                              | PAM module to disallow weak new passwords                                          | package
i  | parallel-printer-support                   | Parallel Printer Support                                                           | package
i  | parted                                     | GNU partitioner                                                                    | package
i+ | password-store                             | Utility to store, retrieve, generate and synchronize passwords                     | package
i+ | patterns-base-apparmor                     | AppArmor                                                                           | package
i  | patterns-base-base                         | Base System                                                                        | package
i  | patterns-base-documentation                | Help and Support Documentation                                                     | package
i+ | patterns-base-enhanced_base                | Enhanced Base System                                                               | package
i  | patterns-base-minimal_base                 | Minimal Appliance Base                                                             | package
i  | patterns-base-sw_management                | Software Management                                                                | package
i+ | patterns-desktop-books                     | Documentation                                                                      | package
i  | patterns-glibc-hwcaps-x86_64_v3            | Install x86-64-v3 optimized libraries                                              | package
i+ | patterns-yast-yast2_basis                  | YaST Base Utilities                                                                | package
i+ | patterns-yast-yast2_desktop                | YaST Desktop Utilities                                                             | package
i  | pciutils                                   | PCI utilities for the Linux Kernel                                                 | package
i  | pcsc-lite                                  | PC/SC Smart Cards Library                                                          | package
i  | perl                                       | The Perl interpreter                                                               | package
i  | perl-Authen-SASL                           | SASL Authentication framework                                                      | package
i  | perl-base                                  | The Perl interpreter                                                               | package
i  | perl-Bootloader                            | Tool for boot loader configuration                                                 | package
i  | perl-Clone                                 | Recursively copy Perl datatypes                                                    | package
i  | perl-Digest-HMAC                           | Keyed-Hashing for Message Authentication                                           | package
i  | perl-Digest-SHA1                           | Perl Interface to the SHA-1 Algorithm                                              | package
i  | perl-Encode-Locale                         | Determine the locale encoding                                                      | package
i  | perl-Error                                 | Error/exception handling in an OO-ish way                                          | package
i  | perl-File-Listing                          | Parse directory listing                                                            | package
i  | perl-gettext                               | Message Handling Functions                                                         | package
i  | perl-Git                                   | perl Bindings for Git                                                              | package
i  | perl-HTML-Parser                           | HTML parser class                                                                  | package
i  | perl-HTML-Tagset                           | Data tables useful in parsing HTML                                                 | package
i  | perl-HTTP-CookieJar                        | Minimalist HTTP user agent cookie jar                                              | package
i  | perl-HTTP-Cookies                          | HTTP cookie jars                                                                   | package
i  | perl-HTTP-Date                             | HTTP::Date - date conversion routines                                              | package
i  | perl-HTTP-Message                          | HTTP style message (base class)                                                    | package
i  | perl-HTTP-Negotiate                        | choose a variant to serve                                                          | package
i  | perl-IO-HTML                               | Open an HTML file with automatic charset detection                                 | package
i  | perl-IO-Socket-SSL                         | Nearly transparent SSL encapsulation for IO::Socket::INET                          | package
i  | perl-IPC-Run3                              | Run a Subprocess with Input/Ouput Redirection                                      | package
i  | perl-libwww-perl                           | The World-Wide Web library for Perl                                                | package
i  | perl-LWP-MediaTypes                        | Guess media type for a file or a URL                                               | package
i  | perl-LWP-Protocol-https                    | Provide https support for LWP::UserAgent                                           | package
i  | perl-MailTools                             | Bundle of ancient email modules                                                    | package
i  | perl-Net-DBus                              | Perl extension for the DBus message system                                         | package
i  | perl-Net-HTTP                              | Low-level HTTP connection (client)                                                 | package
i  | perl-Net-SMTP-SSL                          | SSL support for Net::SMTP                                                          | package
i  | perl-Net-SSLeay                            | Perl bindings for OpenSSL and LibreSSL                                             | package
i  | perl-Parse-RecDescent                      | Generate Recursive-Descent Parsers                                                 | package
i  | perl-SNMP                                  | Perl5 SNMP Extension Module                                                        | package
i  | perl-Term-ReadKey                          | Module for Simple Terminal Control                                                 | package
i  | perl-TimeDate                              | TimeDate Perl module                                                               | package
i  | perl-Try-Tiny                              | Minimal try/catch with proper preservation of $@                                   | package
i  | perl-URI                                   | Uniform Resource Identifiers (absolute and relative)                               | package
i  | perl-WWW-RobotRules                        | database of robots.txt-derived permissions                                         | package
i  | perl-X11-Protocol                          | Perl module for the X Window System Protocol, version 11                           | package
i  | perl-X500-DN                               | Provides an interface for RFC 2253 style DN strings                                | package
i  | perl-XML-Parser                            | Perl module for parsing XML documents                                              | package
i  | perl-XML-Twig                              | Perl Module for Processing Huge Xml Documents in Tree Mode                         | package
i  | permissions                                | SUSE Linux Default Permissions                                                     | package
i  | permissions-config                         | SUSE Linux Default Permissions config files                                        | package
i+ | picocom                                    | Minimal dumb-terminal emulation program                                            | package
i  | pigz                                       | Multi-core gzip version                                                            | package
i  | pinentry                                   | Collection of Simple PIN or Passphrase Entry Dialogs                               | package
i  | pipewire                                   | A Multimedia Framework designed to be an audio and video server and more           | package
i  | pipewire-alsa                              | PipeWire media server ALSA support                                                 | package
i+ | pipewire-aptx                              | PipeWire Bluetooth aptX codec plugin                                               | package
i  | pipewire-jack                              | PipeWire JACK implementation                                                       | package
i  | pipewire-libjack-0_3                       | PipeWire libjack replacement libraries                                             | package
i  | pipewire-modules-0_3                       | Modules For PipeWire, A Multimedia Framework                                       | package
i  | pipewire-pulseaudio                        | PipeWire PulseAudio implementation                                                 | package
i  | pipewire-spa-plugins-0_2                   | Plugins For PipeWire SPA                                                           | package
i  | pipewire-spa-tools                         | The PipeWire SPA Tools                                                             | package
i  | pipewire-tools                             | The PipeWire Tools                                                                 | package
i  | pkexec                                     | Pkexec component of polkit                                                         | package
i  | pkgconf                                    | Package compiler and linker metadata toolkit                                       | package
i  | pkgconf-m4                                 | m4 macros for pkgconf                                                              | package
i  | pkgconf-pkg-config                         | pkgconf shim to provide /usr/bin/pkg-config                                        | package
i  | plymouth                                   | Graphical Boot Animation and Logger                                                | package
i  | plymouth-branding-openSUSE                 | openSUSE Tumbleweed branding for Plymouth bootsplash                               | package
i  | plymouth-dracut                            | Plymouth related utilities for dracut                                              | package
i  | plymouth-lang                              | Translations for package plymouth                                                  | package
i  | plymouth-plugin-label                      | Plymouth label plugin                                                              | package
i  | plymouth-plugin-two-step                   | Plymouth "two-step" plugin                                                         | package
i  | plymouth-scripts                           | Plymouth related scripts                                                           | package
i  | plymouth-theme-bgrt                        | Plymouth "bgrt" theme                                                              | package
i  | plymouth-theme-spinner                     | Plymouth "Spinner" theme                                                           | package
i  | polkit                                     | PolicyKit Authorization Framework                                                  | package
i  | polkit-default-privs                       | SUSE PolicyKit default permissions                                                 | package
i  | poppler-data                               | Encoding Files for use with libpoppler                                             | package
i  | poppler-tools                              | PDF Rendering Library Tools                                                        | package
i  | postfix                                    | A fast, secure, and flexible mailer                                                | package
i  | prctl                                      | A utility to perform process operations                                            | package
i  | procinfo                                   | Tool to Display System Status Gathered from /proc                                  | package
i  | procmail                                   | A program for local e-mail delivery                                                | package
i  | procps                                     | The ps utilities for /proc                                                         | package
i+ | protonmail-bridge                          | Proton Mail Bridge                                                                 | package
i  | psmisc                                     | Utilities for managing processes on your system                                    | package
i  | psutils                                    | Tools for Manipulating PostScript Files                                            | package
i  | publicsuffix                               | Cross-vendor public domain suffix database                                         | package
i  | pulseaudio-setup                           | Set-up script for PulseAudio                                                       | package
i  | pulseaudio-utils                           | PulseAudio utilities                                                               | package
i  | purge-kernels-service                      | The service for removing old kernels when multiversion is enabled                  | package
i  | python3-apparmor                           | Python 3 interface for libapparmor functions                                       | package
i  | python3-cupshelpers                        | High-level Python Bindings for CUPS                                                | package
i  | python3-firewall                           | Python3 bindings for FirewallD                                                     | package
i  | python3-nftables                           | Python interface for nftables                                                      | package
i  | python3-solv                               | Python3 bindings for the libsolv library                                           | package
i  | python310                                  | Python 3 Interpreter                                                               | package
i  | python310-base                             | Python 3 Interpreter and Stdlib Core                                               | package
i  | python310-curses                           | Python Interface to the (N)Curses Library                                          | package
i  | python310-dbm                              | Python Interface to the GDBM Library                                               | package
i  | python310-gobject                          | Python bindings for GObject                                                        | package
i  | python310-gobject-cairo                    | Python bindings for GObject/Cairo                                                  | package
i  | python310-gobject-Gdk                      | Python bindings for GObject/Gdk                                                    | package
i  | python310-pip                              | A Python package management system                                                 | package
i  | python310-pycairo                          | Python Bindings for Cairo                                                          | package
i  | python310-setuptools                       | Download, build, install, upgrade, and uninstall Python packages                   | package
i  | python310-xlrd                             | Python module for extracting data from .xls Excel spreadsheet files                | package
i  | python311                                  | Python 3 Interpreter                                                               | package
i  | python311-apipkg                           | Namespace control and lazy-import mechanism                                        | package
i  | python311-argcomplete                      | Bash tab completion for argparse                                                   | package
i  | python311-base                             | Python 3 Interpreter and Stdlib Core                                               | package
i  | python311-base-x86-64-v3                   | Python 3 Interpreter and Stdlib Core                                               | package
i  | python311-Brotli                           | Python bindings for the Brotli compression library                                 | package
i  | python311-certifi                          | Python package for providing Mozilla's CA Bundle                                   | package
i  | python311-cffi                             | Foreign Function Interface for Python calling C code                               | package
i  | python311-charset-normalizer               | Python Universal Charset detector                                                  | package
i  | python311-click                            | A wrapper around optparse for command line utilities                               | package
i  | python311-configobj                        | Config file reading, writing and validation                                        | package
i  | python311-cryptography                     | Python library which exposes cryptographic recipes and primitives                  | package
i  | python311-curses                           | Python Interface to the (N)Curses Library                                          | package
i  | python311-dbm                              | Python Interface to the GDBM Library                                               | package
i  | python311-dbus-python                      | Python bindings for D-Bus                                                          | package
i  | python311-decorator                        | Decorators for Humans                                                              | package
i  | python311-gobject                          | Python bindings for GObject                                                        | package
i  | python311-gobject-cairo                    | Python bindings for GObject/Cairo                                                  | package
i  | python311-gobject-Gdk                      | Python bindings for GObject/Gdk                                                    | package
i  | python311-greenlet                         | Lightweight in-process concurrent programming                                      | package
i  | python311-idna                             | Internationalized Domain Names in Applications (IDNA)                              | package
i  | python311-iniconfig                        | iniconfig: brain-dead simple config-ini parsing                                    | package
i  | python311-linux-procfs                     | Linux /proc abstraction classes                                                    | package
i  | python311-msgpack                          | MessagePack (de)serializer                                                         | package
i  | python311-neovim                           | Python client to Neovim                                                            | package
i  | python311-notify2                          | Python interface to DBus notifications                                             | package
i  | python311-packaging                        | Core utilities for Python packages                                                 | package
i  | python311-pip                              | A Python package management system                                                 | package
i+ | python311-pipx                             | Install and Run Python Applications in Isolated Environments                       | package
i  | python311-psutil                           | A process utilities module for Python                                              | package
i  | python311-py                               | Library with cross-python path, ini-parsing, io, code, log facilities              | package
i  | python311-pycairo                          | Python Bindings for Cairo                                                          | package
i  | python311-pycparser                        | C parser in Python                                                                 | package
i  | python311-pycups                           | Python Bindings for CUPS                                                           | package
i  | python311-pycurl                           | PycURL -- cURL library module                                                      | package
i  | python311-pyOpenSSL                        | Python wrapper module around the OpenSSL library                                   | package
i  | python311-pysmbc                           | Python bindings for samba clients (libsmbclient)                                   | package
i  | python311-PySocks                          | A Python SOCKS client module                                                       | package
i  | python311-pyudev                           | Udev bindings for Python                                                           | package
i  | python311-requests                         | Python HTTP Library                                                                | package
i  | python311-setuptools                       | Download, build, install, upgrade, and uninstall Python packages                   | package
i  | python311-six                              | Python 2 and 3 compatibility utilities                                             | package
i  | python311-urllib3                          | HTTP library with thread-safe connection pooling, file post, and more              | package
i  | python311-userpath                         | Tool for adding locations to the user PATH                                         | package
i  | python311-x86-64-v3                        | Python 3 Interpreter                                                               | package
i  | qrencode                                   | C library for encoding data in a QR Code symbol                                    | package
i  | qtdeclarative-imports-provides-qt5         | RPM provides for QML modules from qtdeclarative                                    | package
i  | readline-doc                               | Documentation how to Use and Program with the Readline Library                     | package
i+ | ripgrep                                    | A search tool that combines ag with grep                                           | package
i  | ripgrep-bash-completion                    | Bash Completion for ripgrep                                                        | package
i  | ripgrep-fish-completion                    | Fish Completion for ripgrep                                                        | package
i  | rpcbind                                    | Transport independent RPC portmapper                                               | package
i+ | rpm                                        | The RPM Package Manager                                                            | package
i  | rpm-config-SUSE                            | SUSE specific RPM configuration files                                              | package
i  | rsync                                      | Versatile tool for fast incremental file transfer                                  | package
i  | rtkit                                      | Realtime Policy and Watchdog Daemon                                                | package
i  | ruby                                       | An Interpreted Object-Oriented Scripting Language                                  | package
i  | ruby-common                                | Collection of scripts and macros for ruby packaging                                | package
i  | ruby-solv                                  | Ruby bindings for the libsolv library                                              | package
i  | ruby3.2                                    | An Interpreted Object-Oriented Scripting Language                                  | package
i  | ruby3.2-rubygem-abstract_method            | Tiny library enabling you to define abstract methods in Ruby classes               | package
i  | ruby3.2-rubygem-cfa                        | CFA (Config Files API) provides an easy way to create models on top                | package
i  | ruby3.2-rubygem-cfa_grub2                  | Models for GRUB2 configuration files                                               | package
i  | ruby3.2-rubygem-cheetah                    | Your swiss army knife for executing external commands in Ruby safely               | package
i  | ruby3.2-rubygem-fast_gettext               | A simple, fast, memory-efficient and threadsafe implementation of                  | package
i  | ruby3.2-rubygem-gem2rpm                    | Generate rpm specfiles from gems                                                   | package
i  | ruby3.2-rubygem-nokogiri                   | Nokogiri (鋸) makes it easy and painless to work with XML and HTML                 | package
i  | ruby3.2-rubygem-ruby-augeas                | Ruby bindings for augeas                                                           | package
i  | ruby3.2-rubygem-ruby-dbus                  | Ruby module for interaction with D-Bus                                             | package
i  | ruby3.2-rubygem-simpleidn                  | Punycode ACE to unicode UTF-8 (and vice-versa) string conversion                   | package
i  | ruby3.2-rubygem-unf                        | A wrapper library to bring Unicode Normalization Form support to                   | package
i  | ruby3.2-rubygem-unf_ext                    | Unicode Normalization Form support library for CRuby                               | package
i  | samba-client                               | Samba Client Utilities                                                             | package
i  | samba-client-libs                          | Samba client libraries                                                             | package
i  | scout                                      | Indexing Package Properties                                                        | package
i  | screen                                     | A program to allow multiple screens on a VT100/ANSI Terminal                       | package
i  | sed                                        | A Stream-Oriented Non-Interactive Text Editor                                      | package
i  | setserial                                  | A utility for configuring serial ports                                             | package
i  | sg3_utils                                  | A collection of tools that send SCSI commands to devices                           | package
i  | shadow                                     | Utilities to Manage User and Group Accounts                                        | package
i  | shared-mime-info                           | Shared MIME Database                                                               | package
i  | shared-python-startup                      | Startup script shared by all Python interpreters                                   | package
i  | sharutils                                  | GNU shar utilities                                                                 | package
i+ | shim                                       | UEFI shim loader                                                                   | package
i  | site-config                                | Site Paths Configuration for autoconf Based configure Scripts                      | package
i  | slurp                                      | Wayland region selector                                                            | package
i  | smartmontools                              | Monitor for SMART devices                                                          | package
i  | smp_utils                                  | Utilities for the SAS Management Protocol (SMP)                                    | package
i+ | snapper                                    | Tool for filesystem snapshot management                                            | package
i  | snapper-zypp-plugin                        | A zypp commit plugin for calling snapper                                           | package
i  | snmp-mibs                                  | MIB files from net-snmp                                                            | package
i  | sound-theme-freedesktop                    | freedesktop.org sound theme                                                        | package
i  | spax                                       | Portable Archive Exchange                                                          | package
i  | sqlite3-tcl                                | Tcl binding for SQLite                                                             | package
i  | star                                       | tar implementation compliant to POSIX.1-2001                                       | package
i+ | starship                                   | A customizable prompt for many shells                                              | package
i+ | stlink                                     | STM32 discovery line linux programmer                                              | package
i  | strace                                     | A utility to trace the system calls of a program                                   | package
i  | sudo                                       | Execute some commands as root                                                      | package
i  | sudo-plugin-python                         | Plugin API for python                                                              | package
i  | suse-module-tools                          | Configuration for module loading and SUSE-specific utilities for KMPs              | package
i  | suse-module-tools-scriptlets               | Kernel rpm scriptlets                                                              | package
i  | sw_management                              | Software Management                                                                | pattern
i  | sway                                       | Window manager for Wayland compatible with i3                                      | package
i  | sway-branding-upstream                     | Upstream branding of sway                                                          | package
i  | swaybar                                    | Bar program for sway                                                               | package
i  | swaybg                                     | Wallpaper tool for Wayland compositors                                             | package
i  | swayidle                                   | Idle management daemon for Wayland                                                 | package
i  | swaylock                                   | Screen locker for Wayland                                                          | package
i  | swaynag                                    | Displays warning and error messages in sway                                        | package
i  | sysconfig                                  | The sysconfig scheme for traditional network scripts                               | package
i  | syslinux                                   | Boot Loader for Linux                                                              | package
i  | system-config-printer                      | A printer administration tool                                                      | package
i  | system-config-printer-applet               | Notification icon for printing via system-config-printer                           | package
i  | system-config-printer-common               | Common files for GNOME's printer administration tool                               | package
i  | system-config-printer-dbus-service         | D-Bus service to configure printing via system-config-printer                      | package
i  | system-group-audit                         | System group 'audit'                                                               | package
i  | system-group-hardware                      | Hardware related system groups                                                     | package
i  | system-group-kvm                           | System group kvm                                                                   | package
i  | system-group-wheel                         | System group 'wheel'                                                               | package
i  | system-user-bin                            | System user and group 'bin'                                                        | package
i  | system-user-daemon                         | System user and group 'daemon'                                                     | package
i  | system-user-flatpak                        | System user for the flatpak system helper                                          | package
i  | system-user-lp                             | System user lp                                                                     | package
i  | system-user-mail                           | System user and group mail                                                         | package
i  | system-user-man                            | System user and group 'man'                                                        | package
i  | system-user-nobody                         | System user and group nobody                                                       | package
i  | system-user-root                           | System user and group root                                                         | package
i  | system-user-tftp                           | System user and group tftp                                                         | package
i  | systemd                                    | A System and Session Manager                                                       | package
i  | systemd-coredump                           | Systemd tools for coredump management                                              | package
i  | systemd-default-settings                   | Customization of systemd default settings for SUSE distributions                   | package
i  | systemd-default-settings-branding-openSUSE | Specific customization of systemd defaults settings for openSUSE                   | package
i  | systemd-doc                                | HTML documentation for systemd                                                     | package
i  | systemd-presets-branding-openSUSE          | Systemd default presets for openSUSE                                               | package
i  | systemd-presets-common-SUSE                | Systemd default presets for SUSE distributions                                     | package
i  | systemd-rpm-macros                         | RPM macros for systemd                                                             | package
i  | sysuser-shadow                             | Tool to execute sysusers.d with shadow utilities                                   | package
i  | tar                                        | GNU implementation of ((t)ape (ar)chiver)                                          | package
i  | tar-rmt                                    | Remote tape drive control server by GNU                                            | package
i  | tcl                                        | The Tcl Programming Language                                                       | package
i  | terminfo                                   | A terminal descriptions database                                                   | package
i  | terminfo-base                              | A terminal descriptions database                                                   | package
i  | terminfo-iterm                             | A terminal descriptions database for iterm                                         | package
i  | terminfo-screen                            | A terminal descriptions database for screen                                        | package
i  | thin-provisioning-tools                    | Thin Provisioning Tools                                                            | package
i  | time                                       | Run Programs And Summarize System Resource Usage                                   | package
i  | timezone                                   | Time Zone Descriptions                                                             | package
i  | timezone-java                              | Time Zone Descriptions                                                             | package
i  | tnftp                                      | Enhanced FTP Client                                                                | package
i  | tree                                       | File listing as a tree                                                             | package
i  | tuned                                      | A dynamic adaptive system tuning daemon                                            | package
i  | typelib-1_0-Atk-1_0                        | Introspection bindings for the ATK accessibility toolkit                           | package
i  | typelib-1_0-GdkPixbuf-2_0                  | Introspection bindings for gdk-pixbuf                                              | package
i  | typelib-1_0-Gtk-3_0                        | Introspection bindings for the GTK+ toolkit library (version 3)                    | package
i  | typelib-1_0-Handy-1_0                      | Introspection bindings for libhandy                                                | package
i  | typelib-1_0-HarfBuzz-0_0                   | Introspection bindings for the HarfBuzz/GObject library                            | package
i  | typelib-1_0-NM-1_0                         | Introspection bindings for the NetworkManager client convenience library           | package
i  | typelib-1_0-Notify-0_7                     | Notifications Library -- Introspection bindings                                    | package
i  | typelib-1_0-PackageKitGlib-1_0             | Introspection bindings for PackageKit's GLib integration                           | package
i  | typelib-1_0-Pango-1_0                      | Introspection bindings for pango, a library for text layout and rendering          | package
i  | typelib-1_0-Polkit-1_0                     | PolicyKit Authorization Framework -- Introspection bindings                        | package
i  | typelib-1_0-Secret-1                       | Introspection bindings for the Secret Service API library                          | package
i  | typelib-1_0-XApp-1_0                       | XApp library -- Introspection bindings                                             | package
i  | ucode-intel                                | Microcode Updates for Intel x86/x86-64 CPUs                                        | package
i  | udev                                       | A rule-based device node and kernel event manager                                  | package
i  | udev-configure-printer                     | Utility to autoconfigure printers when plugged                                     | package
i  | udisks2                                    | Disk Manager                                                                       | package
i  | udisks2-bash-completion                    | Bash Completion for udisksctl                                                      | package
i  | unzip                                      | A program to unpack compressed files                                               | package
i  | unzip-doc                                  | Documentation files for unzip                                                      | package
i  | update-alternatives                        | Maintain symbolic links determining default commands                               | package
i  | upower                                     | Power Device Enumeration Framework                                                 | package
i  | usb_modeswitch                             | A mode switching tool for controlling multiple-device USB gear                     | package
i  | usb_modeswitch-data                        | Data Files for USB Modeswitch                                                      | package
i  | usbmuxd                                    | A socket daemon to multiplex connections from and to iOS devices                   | package
i  | usbutils                                   | Tools and libraries for USB devices                                                | package
i  | util-linux                                 | A collection of basic system utilities (core part)                                 | package
i  | util-linux-systemd                         | A collection of basic system utilities (systemd dependent part)                    | package
i  | vim                                        | Vi IMproved                                                                        | package
i  | vim-data                                   | Data files needed for extended vim functionality                                   | package
i  | vim-data-common                            | Common Data files for vim & gvim                                                   | package
i  | virt-what                                  | Detect if running in a virtual machine                                             | package
i  | vlan                                       | 802.1q VLAN Implementation for Linux                                               | package
i+ | vlc-beta                                   | Snapshot of vlc.git#master                                                         | package
i  | wallpaper-branding-openSUSE                | openSUSE Tumbleweed default wallpapers                                             | package
i  | waybar                                     | Customizable Wayland bar for Sway and Wlroots based compositors                    | package
i  | waybar-branding-upstream                   | Upstream branding of waybar                                                        | package
i  | wget                                       | A Tool for Mirroring FTP and HTTP Servers                                          | package
i  | which                                      | Displays where a particular program in your path is located                        | package
i  | wireless-regdb                             | 802.11 regulatory domain database                                                  | package
i  | wireless-tools                             | Tools for a wireless LAN                                                           | package
i  | wireplumber                                | Session / policy manager implementation for PipeWire                               | package
i  | wireplumber-audio                          | Session / policy manager implementation for PipeWire (audio support)               | package
i+ | wireshark                                  | A Network Traffic Analyser                                                         | package
i  | wireshark-ui-qt                            | A Network Traffic Analyser - Qt UI                                                 | package
i  | wl-clipboard                               | Wayland Clipboard Utilities                                                        | package
i  | wl-clipboard-bash-completion               | Bash completion for wl-clipboard                                                   | package
