Loading repository data...
Reading installed packages...

S  | Name                                       | Summary                                                                            | Type
i  | diffutils                                  | GNU diff Utilities                                                                 | package
i+ | digilent.adept.runtime                     | Digilent Adept Runtime                                                             | package
i  | dirmngr                                    | Keyserver, CRL, and OCSP access for GnuPG                                          | package
i  | distribution-logos-openSUSE-Tumbleweed     | Logos for openSUSE Tumbleweed                                                      | package
i  | dmidecode                                  | DMI table decoder                                                                  | package
i  | dmraid                                     | A Device-Mapper Software RAID Support Tool                                         | package
i  | dnsmasq                                    | DNS Forwarder and DHCP Server                                                      | package
i  | documentation                              | Help and Support Documentation                                                     | pattern
i  | dos2unix                                   | Text converters to and from DOS/MAC to UNIX                                        | package
i+ | dosfstools                                 | Utilities for Making and Checking MS-DOS FAT File Systems on Linux                 | package
i  | dracut                                     | Event driven initramfs infrastructure                                              | package
i+ | e2fsprogs                                  | Utilities for the Second Extended File System                                      | package
i  | ed                                         | A line-oriented text editor                                                        | package
i  | efibootmgr                                 | EFI Boot Manager                                                                   | package
i  | elfutils                                   | Higher-level library to access ELF files                                           | package
i+ | enhanced_base                              | Enhanced Base System                                                               | pattern
i  | ethtool                                    | Utility for examining and tuning Ethernet-based network interfaces                 | package
i  | ethtool-bash-completion                    | Bash completion for ethtool                                                        | package
i  | expat                                      | XML Parser Toolkit                                                                 | package
i+ | eza                                        | Replacement for ls written in Rust                                                 | package
i  | eza-bash-completion                        | Bash Completion for eza                                                            | package
i  | eza-fish-completion                        | Fish completion for eza                                                            | package
i+ | fd                                         | An alternative to the "find" utility                                               | package
i  | fd-bash-completion                         | Bash Completion for fd                                                             | package
i  | fd-fish-completion                         | Fish Completion for fd                                                             | package
i  | fde-tpm-helper                             | TPM helper for fde-tools                                                           | package
i  | fdupes                                     | Tool to identify or delete duplicate files                                         | package
i+ | ffmpeg-6                                   | Set of libraries for working with various multimedia formats                       | package
i  | file                                       | A Tool to Determine File Types                                                     | package
i  | file-magic                                 | Database for libmagic to help identify files                                       | package
i  | filesystem                                 | Basic Directory Layout                                                             | package
i  | fillup                                     | Tool for Merging Config Files                                                      | package
i  | findutils                                  | The GNU versions of find utilities (find and xargs)                                | package
i+ | firewalld                                  | A firewall daemon with D-Bus interface providing a dynamic firewall                | package
i  | firewalld-bash-completion                  | Bash Completion for firewalld                                                      | package
i  | firewalld-lang                             | Translations for package firewalld                                                 | package
i+ | fish                                       | The "friendly interactive shell"                                                   | package
i+ | flatpak                                    | OSTree based application bundles management                                        | package
i  | flatpak-remote-flathub                     | Add Flathub repository to system flatpak                                           | package
i  | fontawesome-fonts                          | Iconic font set                                                                    | package
i  | fontconfig                                 | Library for Font Configuration                                                     | package
i  | fonts-config                               | Script to configure fonts for X Windows and other applications                     | package
i+ | foot                                       | A Wayland terminal emulator                                                        | package
i  | fuse                                       | Reference implementation of the "Filesystem in Userspace"                          | package
i  | fuse3                                      | Reference implementation of the "Filesystem in Userspace"                          | package
i+ | fuzzel                                     | A Wayland-native application launcher, similar to rofi's drun mode                 | package
i  | fuzzel-fish-completion                     | Fish Completion for fuzzel                                                         | package
i+ | fzf                                        | A command-line fuzzy finder                                                        | package
i  | fzf-bash-completion                        | Bash completion for fzf                                                            | package
i  | fzf-fish-completion                        | Fish completion for fzf                                                            | package
i  | gawk                                       | Domain-specific language for text processing                                       | package
i+ | gcc                                        | The system GNU C Compiler                                                          | package
i+ | gcc-c++                                    | The system GNU C++ Compiler                                                        | package
i  | gcc13                                      | The GNU C Compiler and Support Files                                               | package
i  | gcc13-c++                                  | The GNU C++ Compiler                                                               | package
i  | gcr-ssh-agent                              | SSH agent binary for gcr                                                           | package
i  | gcr-viewer                                 | Viewer for Crypto Files                                                            | package
i  | gcr3-data                                  | Data and icon set for gcr                                                          | package
i  | gcr3-prompter                              | Prompt dialog for gcr                                                              | package
i  | gcr3-ssh-askpass                           | SSH password callback helper for gcr                                               | package
i  | gdk-pixbuf-loader-jxl                      | A gdk-pixbuf loader for JPEG-XL using libjxl                                       | package
i  | gdk-pixbuf-loader-rsvg                     | A gdk-pixbuf loader for SVG using librsvg                                          | package
i  | gdk-pixbuf-query-loaders                   | Utility to create a cache of gdk-pixbuf loaders                                    | package
i  | gdk-pixbuf-thumbnailer                     | System helper creating thumbnails                                                  | package
i  | gettext-runtime                            | Tools for Native Language Support (NLS)                                            | package
i+ | gh                                         | The official CLI for GitHub                                                        | package
i  | gh-bash-completion                         | Bash Completion for gh                                                             | package
i  | gh-fish-completion                         | Fish completion for gh                                                             | package
i  | ghostscript                                | The Ghostscript interpreter for PostScript and PDF                                 | package
i  | ghostscript-x11                            | X11 library for Ghostscript                                                        | package
i  | gio-branding-openSUSE                      | openSUSE definitions of default settings and applications                          | package
i  | girepository-1_0                           | Base GObject Introspection Bindings                                                | package
i+ | git                                        | Fast, scalable, distributed revision control system                                | package
i  | git-core                                   | Core git tools                                                                     | package
i+ | git-delta                                  | A syntax-highlighter for git and diff output                                       | package
i  | git-email                                  | Git tools for sending email                                                        | package
i  | glib-networking                            | Network-related GIO modules for glib                                               | package
i  | glib2-tools                                | Tools from glib2, a general-purpose utility library                                | package
i+ | glibc                                      | Standard Shared Libraries (from the GNU C Library)                                 | package
i  | glibc-devel                                | Include Files and Libraries Mandatory for Development                              | package
i  | glibc-extra                                | Extra binaries from GNU C Library                                                  | package
i  | glibc-locale                               | Locale Data for Localized Programs                                                 | package
i  | glibc-locale-base                          | en_US Locale Data for Localized Programs                                           | package
i+ | glow                                       | Render markdown on the CLI                                                         | package
i+ | gnome-calculator                           | A GNOME Calculator Application                                                     | package
i+ | gnome-keyring                              | GNOME Keyring                                                                      | package
i  | gnome-keyring-pam                          | GNOME Keyring - PAM module                                                         | package
i+ | gnu_parallel                               | Shell tool for executing jobs in parallel                                          | package
i  | gnu_parallel-bash-completion               | zsh completion for GNU parallel                                                    | package
i  | google-opensans-fonts                      | Humanist Sans Serif Typeface                                                       | package
i  | google-poppins-fonts                       | Geometric sans serif typefaces                                                     | package
i  | gpart                                      | Tool That Can Guess a Lost Partition Table                                         | package
i  | gperf                                      | A Compiler Tool for Generating Perfect Hash Functions                              | package
i  | gpg2                                       | File encryption, decryption, signature creation and verification utility           | package
i  | gpm                                        | Console Mouse Support                                                              | package
i  | gptfdisk                                   | GPT partitioning and MBR repair software                                           | package
i  | grep                                       | Print lines matching a pattern                                                     | package
i  | grim                                       | Wayland compositor image grabber                                                   | package
i  | groff                                      | GNU troff Document Formatting System                                               | package
i  | groff-full                                 | GNU troff Document Formatting System                                               | package
i  | grub2                                      | Bootloader with support for Linux, Multiboot and more                              | package
i  | grub2-branding-openSUSE                    | openSUSE Tumbleweed branding for GRUB2                                             | package
i  | grub2-i386-pc                              | Bootloader with support for Linux, Multiboot and more                              | package
i  | grub2-snapper-plugin                       | Grub2's snapper plugin                                                             | package
i  | grub2-systemd-sleep-plugin                 | Grub2's systemd-sleep plugin                                                       | package
i+ | grub2-x86_64-efi                           | Bootloader with support for Linux, Multiboot and more                              | package
i  | gsettings-backend-dconf                    | GSettings integration of the dconf key-based configuration system                  | package
i  | gsettings-desktop-schemas                  | Shared GSettings Schemas for the Desktop                                           | package
i  | gstreamer                                  | Streaming-Media Framework Runtime                                                  | package
i  | gstreamer-libnice                          | GStreamer plugin for the Interactive Connectivity Establishment                    | package
i  | gstreamer-plugin-openh264                  | Gstreamer openh264 plugin                                                          | package
i  | gstreamer-plugins-bad                      | GStreamer Streaming-Media Framework Plug-Ins                                       | package
i+ | gstreamer-plugins-bad-codecs               | Codecs/plugins for gstreamer-plugins-bad                                           | package
i  | gstreamer-plugins-base                     | GStreamer Streaming-Media Framework Plug-Ins                                       | package
i+ | gstreamer-plugins-good                     | GStreamer Streaming-Media Framework Plug-Ins                                       | package
i+ | gstreamer-plugins-good-extra               | Complementary plugins for gstreamer-plugins-good                                   | package
i  | gstreamer-plugins-good-gtk                 | Gtksink plugin for gstreamer-plugins-good                                          | package
i+ | gstreamer-plugins-libav                    | A ffmpeg/libav plugin for GStreamer                                                | package
i  | gstreamer-plugins-ugly                     | GStreamer Streaming-Media Framework Plug-Ins                                       | package
i+ | gstreamer-plugins-ugly-codecs              | Codecs/plugins for gstreamer-plugins-ugly                                          | package
i  | gtk2-branding-openSUSE                     | The GTK+ toolkit library (version 2) -- openSUSE theme configuration               | package
i  | gtk2-data                                  | Data files for the GTK+ toolkit library v2                                         | package
i  | gtk2-immodule-amharic                      | Amharic input method for the GTK+ toolkit library v2                               | package
i  | gtk2-immodule-inuktitut                    | Inuktitut input method for the GTK+ toolkit library v2                             | package
i  | gtk2-immodule-thai                         | Thai-Lao input method for the GTK+ toolkit library v2                              | package
i  | gtk2-immodule-tigrigna                     | Tigrigna input methods for the GTK+ toolkit library v2                             | package
i  | gtk2-immodule-vietnamese                   | Vietnamese input method for the GTK+ toolkit library v2                            | package
i  | gtk2-metatheme-adwaita                     | GTK+ 2 support for the Adwaita GNOME theme                                         | package
i  | gtk2-theming-engine-adwaita                | Adwaita GTK+ Theming Engine                                                        | package
i  | gtk2-tools                                 | Auxiliary utilities for the GTK+ toolkit library v2                                | package
i  | gtk3-branding-openSUSE                     | The GTK+ toolkit library (version 3) -- openSUSE theme configuration               | package
i  | gtk3-data                                  | Data files for the GTK+ toolkit library v3                                         | package
i  | gtk3-immodule-amharic                      | Amharic input method for the GTK+ toolkit library v3                               | package
i  | gtk3-immodule-inuktitut                    | Inuktitut input method for the GTK+ toolkit library v3                             | package
i  | gtk3-immodule-thai                         | Thai-Lao input method for the GTK+ toolkit library v3                              | package
i  | gtk3-immodule-tigrigna                     | Tigrigna input method for the GTK+ toolkit library v3                              | package
i  | gtk3-immodule-vietnamese                   | Vietnamese input method for the GTK+ toolkit library v3                            | package
i  | gtk3-metatheme-adwaita                     | GTK+ 3 support for the Adwaita GNOME theme                                         | package
i  | gtk3-schema                                | Config schema for the GTK+ toolkit library v3                                      | package
i  | gtk3-tools                                 | Auxiliary utilities for the GTK+ toolkit library v3                                | package
i  | gtk4-branding-openSUSE                     | The GTK+ toolkit library (version 3) -- openSUSE theme configuration               | package
i  | gtk4-schema                                | Config schema for the GTK+ toolkit library v4                                      | package
i  | gtk4-tools                                 | Auxiliary utilities for the GTK+ toolkit library v4                                | package
i  | gvfs                                       | Virtual File System functionality for GLib                                         | package
i  | gvfs-backend-afc                           | VFS functionality for GLib -- iPod / iPhone Support                                | package
i  | gvfs-backend-samba                         | VFS functionality for GLib -- Samba Support                                        | package
i  | gvfs-backends                              | VFS functionality for GLib                                                         | package
i  | gvfs-fuse                                  | VFS functionality for GLib                                                         | package
i  | gxditview                                  | Ditroff Output Displayer for Groff                                                 | package
i  | gzip                                       | GNU Zip Compression Utilities                                                      | package
i  | hdparm                                     | A Program to get and set hard disk parameters                                      | package
i  | hicolor-icon-theme                         | Fallback Icon Theme                                                                | package
i  | hicolor-icon-theme-branding-openSUSE       | Fallback Icon Theme -- openSUSE Icons                                              | package
i  | hostname                                   | Utility to Set/Show the Host Name or Domain Name                                   | package
i+ | htop                                       | An Interactive text-mode Process Viewer for Linux                                  | package
i  | hwdata                                     | Hardware identification and configuration data                                     | package
i  | hwinfo                                     | Hardware Library                                                                   | package
i  | info                                       | A Stand-Alone Terminal-Based Info Browser                                          | package
i  | info-lang                                  | Translations for package info                                                      | package
i  | info-std                                   | The info pages of the Info Browser                                                 | package
i  | initviocons                                | Terminal Initialization, e.g. for the iSeries Virtual Console                      | package
i+ | intel-media-driver                         | Intel Media Driver for VAAPI                                                       | package
i  | iproute2                                   | Linux network configuration utilities                                              | package
i  | iproute2-bash-completion                   | Bash completion for iproute                                                        | package
i  | iptables                                   | IP packet filter administration utilities                                          | package
i  | iputils                                    | IPv4 and IPv6 Networking Utilities                                                 | package
i+ | irqbalance                                 | Daemon to balance IRQs on SMP machines                                             | package
i  | irqbalance-ui                              | UI for IRQ balance Daemon                                                          | package
i  | iso-codes                                  | ISO Code Lists and Translations                                                    | package
i  | iso-codes-lang                             | Translations for package iso-codes                                                 | package
i  | issue-generator                            | Generates an issue files from different snippets                                   | package
i  | jack-dbus                                  | Jack Audio Connection Kit D-Bus support                                            | package
i+ | java-21-openjdk                            | OpenJDK 21 Runtime Environment                                                     | package
i+ | java-21-openjdk-devel                      | OpenJDK 21 Development Environment                                                 | package
i  | java-21-openjdk-headless                   | OpenJDK 21 Runtime Environment                                                     | package
i  | javapackages-filesystem                    | Java packages filesystem layout                                                    | package
i  | javapackages-tools                         | Macros and scripts for Java packaging support                                      | package
i  | kanshi                                     | Dynamic display configuration                                                      | package
i  | kbd                                        | Keyboard and Font Utilities                                                        | package
i  | kbd-legacy                                 | Legacy data for kbd package                                                        | package
i+ | kernel-default                             | The Standard Kernel                                                                | package
i  | kernel-firmware-all                        | Compatibility metapackage for kernel firmware files                                | package
i  | kernel-firmware-amdgpu                     | Kernel firmware files for AMDGPU graphics driver                                   | package
i  | kernel-firmware-ath10k                     | Kernel firmware files for Atheros QCA988x WiFi drivers                             | package
i  | kernel-firmware-ath11k                     | Kernel firmware files for Atheros Qualcomm WiFi drivers                            | package
i  | kernel-firmware-atheros                    | Kernel firmware files for Atheros wireless drivers                                 | package
i  | kernel-firmware-bluetooth                  | Kernel firmware files for various Bluetooth drivers                                | package
i  | kernel-firmware-bnx2                       | Kernel firmware files for Broadcom network drivers                                 | package
i  | kernel-firmware-brcm                       | Kernel firmware files for Broadcom wireless drivers                                | package
i  | kernel-firmware-chelsio                    | Kernel firmware files for Chelsio network drivers                                  | package
i  | kernel-firmware-dpaa2                      | Kernel firmware files for NXP Management Complex bus driver                        | package
i  | kernel-firmware-i915                       | Kernel firmware files for Intel i915 graphics driver                               | package
i  | kernel-firmware-intel                      | Kernel firmware files for Intel-platform device drivers                            | package
i  | kernel-firmware-iwlwifi                    | Kernel firmware files for Intel wireless drivers                                   | package
i  | kernel-firmware-liquidio                   | Kernel firmware files for Cavium LiquidIO driver                                   | package
i  | kernel-firmware-marvell                    | Kernel firmware files for Marvell network drivers                                  | package
i  | kernel-firmware-media                      | Kernel firmware files for various Video4Linux drivers                              | package
i  | kernel-firmware-mediatek                   | Kernel firmware files for Mediatek network drivers                                 | package
i  | kernel-firmware-mellanox                   | Kernel firmware files for Mellanox Spectrum switch driver                          | package
i  | kernel-firmware-mwifiex                    | Kernel firmware files for Marvell WiFi fullmac drivers                             | package
i  | kernel-firmware-network                    | Kernel firmware files for various network drivers                                  | package
i  | kernel-firmware-nfp                        | Kernel firmware files for Netronome Flow Processor driver                          | package
i  | kernel-firmware-nvidia                     | Kernel firmware files for Nvidia Tegra and graphics drivers                        | package
i  | kernel-firmware-platform                   | Kernel firmware files for various platform drivers                                 | package
i  | kernel-firmware-prestera                   | Kernel firmware files for Marvell Prestera ASIC driver                             | package
i  | kernel-firmware-qcom                       | Kernel firmware files for Qualcomm device drivers                                  | package
i  | kernel-firmware-qlogic                     | Kernel firmware files for QLogic network drivers                                   | package
i  | kernel-firmware-radeon                     | Kernel firmware files for Radeon graphics driver                                   | package
i  | kernel-firmware-realtek                    | Kernel firmware files for Realtek wireless drivers                                 | package
i  | kernel-firmware-serial                     | Kernel firmware files for various serial drivers                                   | package
i  | kernel-firmware-sound                      | Kernel firmware files for various sound drivers                                    | package
